,"supermercados","farmacias","hospitales"
"Monterrey","0.8616168856621482","0.571008308170467","0.10979042305665483"
"Laguna","0.8541032259035863","0.6497876892654105","0.0757098898580218"
"Saltillo","0.8246279034282377","0.5828603713972224","0.036682154516603914"
"Querétaro","0.8081153718728217","0.7474856836121085","0.08345487211818707"
"Merida","0.7804702483179742","0.5513072461801517","0.03493181481101352"
"Aguascalientes","0.7691336561086368","0.6592769304220901","0.0769464739135115"
"Mexicali","0.7449333952700674","0.47779017077831526","0.03319976087584618"
"Mexico","0.7306441371127174","0.9182431413280354","0.1177247458815045"
"SLP","0.7062156600010863","0.6815787054293709","0.06628988766810921"
"Guadalajara","0.6869314758049446","0.7967079604652854","0.10181203160862269"
"Puebla","0.6077885884561949","0.6836757204185121","0.06330959278361795"
"Cuernavaca","0.519456804370429","0.567842878993185","0.06725697211831758"
"Toluca","0.49151969133222545","0.6391198089034573","0.07404533059191558"
