,supermercados,farmacias,hospitales,avg
Monterrey,0.8616168856621482,0.571008308170467,0.10979042305665483,0.51413853896309
Laguna,0.8541032259035863,0.6497876892654105,0.0757098898580218,0.5265336016756729
Saltillo,0.8246279034282377,0.5828603713972224,0.036682154516603914,0.4813901431140213
Querétaro,0.8081153718728217,0.7474856836121085,0.08345487211818707,0.5463519758677058
Merida,0.7804702483179742,0.5513072461801517,0.03493181481101352,0.45556976976971314
Aguascalientes,0.7691336561086368,0.6592769304220901,0.0769464739135115,0.5017856868147462
Mexicali,0.7449333952700674,0.47779017077831526,0.03319976087584618,0.4186411089747429
Mexico,0.7306441371127174,0.9182431413280354,0.1177247458815045,0.5888706747740858
SLP,0.7062156600010863,0.6815787054293709,0.06628988766810921,0.4846947510328555
Guadalajara,0.6869314758049446,0.7967079604652854,0.10181203160862269,0.5284838226262841
Puebla,0.6077885884561949,0.6836757204185121,0.06330959278361795,0.451591300552775
Cuernavaca,0.519456804370429,0.567842878993185,0.06725697211831758,0.38485221849397716
Toluca,0.49151969133222545,0.6391198089034573,0.07404533059191558,0.4015616102758661
